gp,min,pts,fg,3p_made,3p,ftm,ft,oreb,dreb,ast,stl,blk,tov,target_5yrs,points_per_minute,efficiency_rating
41,4.2,1.7,34.8,0.1,21.4,0.5,73.1,0.1,0.2,1.0,0.3,0.0,0.4,0,0.4047619047619047,2.9
82,37.2,19.2,49.0,0.1,22.7,4.1,82.9,3.9,7.0,3.6,1.0,0.6,1.9,0,0.5161290322580645,33.5
82,37.2,19.2,49.0,0.1,22.7,4.1,82.9,3.9,7.0,3.6,1.0,0.6,1.9,1,0.5161290322580645,33.5
80,31.4,14.3,52.5,0.0,11.1,2.6,65.4,3.0,5.0,2.4,1.1,0.8,2.2,1,0.45541401273885357,24.400000000000002
82,30.5,13.3,48.9,0.0,16.7,2.6,66.6,2.3,2.8,2.5,1.5,0.3,2.2,1,0.4360655737704918,20.5
76,30.3,10.6,37.5,0.1,13.3,1.8,73.0,1.1,1.8,2.2,2.0,0.2,2.0,1,0.3498349834983498,15.899999999999999
61,29.6,12.0,45.4,0.7,32.0,1.6,74.8,1.3,1.8,4.6,1.0,0.3,2.5,0,0.4054054054054054,18.5
32,15.2,6.3,53.3,0.0,0.0,0.8,62.5,1.7,3.5,0.4,0.5,0.5,1.0,0,0.4144736842105263,11.9
76,29.3,10.4,51.4,0.0,0.0,2.5,80.7,2.4,3.5,1.6,0.7,0.6,1.5,1,0.35494880546075086,17.700000000000003
52,24.6,9.3,45.1,1.1,43.4,2.1,83.6,0.5,1.4,3.7,0.6,0.0,1.8,0,0.3780487804878049,13.700000000000001
76,22.5,8.8,41.5,0.0,0.0,1.2,73.6,1.7,3.4,1.7,0.8,0.5,1.3,1,0.39111111111111113,15.599999999999998
78,22.0,10.1,44.7,0.7,39.0,1.6,74.1,0.9,2.0,2.2,1.2,0.3,1.2,0,0.45909090909090905,15.600000000000001
51,20.7,8.4,49.7,0.0,0.0,2.0,66.7,2.3,3.1,0.8,0.5,0.5,1.5,1,0.4057971014492754,14.100000000000001
64,20.3,6.2,55.2,0.0,0.0,1.4,57.2,2.5,3.9,0.5,0.4,1.2,0.8,1,0.3054187192118227,13.9
55,20.3,10.4,52.9,0.0,0.0,1.8,51.5,2.1,4.1,0.7,0.4,1.5,1.4,1,0.5123152709359606,17.7
82,19.6,7.4,41.9,0.0,4.3,1.2,80.6,0.6,1.4,3.9,1.0,0.3,1.7,1,0.37755102040816324,12.900000000000002
48,18.9,9.1,52.8,0.0,0.0,2.0,66.9,2.4,3.3,0.7,0.8,1.1,1.8,1,0.4814814814814815,15.600000000000001
34,13.4,4.3,30.2,0.4,18.5,0.9,91.2,0.1,1.3,3.1,0.6,0.2,1.0,0,0.3208955223880597,8.599999999999998
42,18.6,8.5,40.0,0.7,35.7,1.5,83.3,0.7,1.2,1.1,0.8,0.1,1.1,1,0.45698924731182794,11.4
82,18.4,5.5,37.0,0.1,14.5,1.4,74.1,0.4,1.3,3.8,0.7,0.1,1.2,1,0.2989130434782609,10.6
64,17.0,7.0,39.0,0.0,23.1,1.1,74.5,0.6,1.4,3.2,1.1,0.1,1.5,1,0.4117647058823529,11.899999999999999
80,16.9,7.4,52.9,0.0,0.0,1.3,69.1,1.3,2.9,0.4,0.6,0.8,1.1,1,0.43786982248520717,12.300000000000002
77,15.1,5.6,46.7,0.0,21.4,1.1,81.0,1.4,2.5,0.4,0.3,0.6,0.9,1,0.3708609271523179,9.799999999999999
55,14.9,4.1,41.7,0.1,37.5,0.6,76.1,0.5,1.0,1.5,0.7,0.2,0.8,0,0.2751677852348993,7.2
48,14.8,5.1,40.7,0.0,9.5,0.9,80.4,0.6,1.1,2.1,0.9,0.0,1.3,0,0.34459459459459457,8.5
51,14.5,5.0,39.9,0.2,27.0,1.8,87.5,0.4,1.2,2.8,0.9,0.0,1.4,0,0.3448275862068966,8.8
51,13.2,3.9,40.2,0.2,36.7,0.4,76.9,0.6,1.5,0.8,0.3,0.2,0.7,0,0.29545454545454547,6.6
72,12.4,4.6,42.3,0.0,0.0,1.4,80.3,0.4,0.9,1.9,0.6,0.1,1.3,1,0.3709677419354838,7.199999999999998
69,11.8,3.6,45.2,0.0,100.0,0.3,82.1,1.1,1.6,0.6,0.5,0.3,0.6,1,0.30508474576271183,7.1000000000000005
54,11.3,5.7,56.8,0.0,0.0,1.3,66.1,1.4,2.0,0.3,0.6,0.7,0.8,1,0.504424778761062,9.899999999999999
24,10.6,4.1,30.3,0.6,36.6,1.0,66.7,0.1,0.5,1.5,0.7,0.1,1.3,0,0.38679245283018865,5.8
50,9.6,4.1,41.5,0.1,19.2,0.9,75.4,0.4,0.7,1.8,0.6,0.1,1.0,1,0.4270833333333333,6.699999999999998
56,9.6,3.4,45.6,0.0,0.0,0.7,65.5,0.5,0.8,1.1,0.6,0.2,0.8,1,0.3541666666666667,5.699999999999999
67,9.0,3.7,38.8,0.4,29.2,0.5,75.6,0.1,0.6,1.4,0.4,0.1,1.0,0,0.41111111111111115,5.300000000000001
50,8.7,2.5,38.0,0.0,14.3,0.5,65.9,0.3,0.5,1.6,0.7,0.1,1.0,1,0.2873563218390805,4.7
45,8.5,2.7,47.5,0.0,0.0,0.5,75.0,0.7,0.8,0.3,0.2,0.2,0.6,1,0.31764705882352945,4.300000000000001
38,8.2,3.4,36.8,0.2,22.2,0.5,82.6,0.3,0.6,0.7,0.3,0.1,0.6,0,0.41463414634146345,4.8
42,8.2,2.8,43.9,0.0,0.0,0.7,52.5,0.9,1.0,0.3,0.1,0.1,0.8,0,0.34146341463414637,4.399999999999999
54,8.2,3.2,45.6,0.1,18.8,0.6,74.4,0.7,0.6,0.6,0.2,0.1,0.5,0,0.39024390243902446,4.8999999999999995
35,7.3,4.0,39.2,0.1,20.0,0.4,53.6,0.6,0.6,0.6,0.4,0.2,0.8,0,0.547945205479452,5.6000000000000005
37,7.3,2.8,44.3,0.1,18.2,0.5,81.0,0.4,0.7,0.3,0.2,0.1,0.5,0,0.3835616438356164,4.0
46,6.7,2.6,43.1,0.2,27.0,0.2,52.6,0.4,0.4,0.5,0.2,0.0,0.3,0,0.3880597014925373,3.8000000000000007
51,6.4,2.2,38.4,0.3,43.3,0.3,83.3,0.3,0.5,0.3,0.1,0.0,0.3,0,0.34375,3.1
40,5.3,2.2,38.0,0.0,0.0,0.9,75.6,0.5,0.7,0.3,0.1,0.1,0.5,0,0.4150943396226416,3.4000000000000004
19,4.8,1.6,37.8,0.0,0.0,0.2,37.5,0.6,0.4,0.4,0.3,0.2,0.3,0,0.33333333333333337,3.2
36,4.3,1.3,35.3,0.1,11.8,0.3,66.7,0.2,0.4,0.6,0.1,0.0,0.5,0,0.3023255813953489,2.1
79,37.7,18.0,42.2,0.0,27.3,4.1,73.6,2.4,6.4,4.0,1.4,1.1,2.9,1,0.47745358090185674,30.400000000000006
55,13.1,3.4,30.4,0.4,20.4,0.6,74.5,0.4,0.8,0.5,0.7,0.1,0.7,0,0.2595419847328244,5.199999999999999
74,35.2,18.4,46.7,0.2,34.2,4.4,73.1,3.6,6.6,2.2,1.0,1.3,2.9,1,0.5227272727272726,30.299999999999997
64,33.5,14.3,40.6,1.1,36.5,4.0,77.0,0.8,1.9,4.0,1.3,0.2,2.5,0,0.42686567164179107,20.1
82,28.5,15.7,42.5,1.5,37.4,1.9,75.0,0.8,2.1,1.6,0.8,0.3,1.6,1,0.5508771929824561,19.7
82,27.4,7.2,45.0,0.0,7.7,0.8,71.1,1.3,1.6,6.4,2.0,0.2,2.2,1,0.26277372262773724,16.6
81,25.9,7.1,51.2,0.0,0.0,2.2,72.2,3.4,4.6,0.3,0.6,1.5,0.9,1,0.27413127413127414,16.5
76,25.4,12.0,44.1,0.1,13.3,3.0,78.2,1.5,2.0,1.4,0.9,0.3,1.9,1,0.4724409448818898,16.1
82,23.7,8.7,46.4,0.1,20.6,1.7,87.3,0.5,1.7,4.2,1.0,0.2,1.7,0,0.36708860759493667,14.599999999999998
82,23.7,8.7,46.4,0.1,20.6,1.7,87.3,0.5,1.7,4.2,1.0,0.2,1.7,1,0.36708860759493667,14.599999999999998
49,9.2,1.9,32.7,0.1,21.4,0.5,64.9,0.2,0.7,1.7,0.5,0.1,0.6,0,0.20652173913043478,4.4
49,9.2,1.9,32.7,0.1,21.4,0.5,64.9,0.2,0.7,1.7,0.5,0.1,0.6,1,0.20652173913043478,4.4
82,23.7,11.0,45.0,0.0,14.3,1.9,83.5,1.3,1.9,3.7,1.3,0.5,2.0,1,0.4641350210970464,17.7
76,22.6,6.9,50.8,0.0,0.0,1.4,63.6,1.9,3.3,0.9,0.6,1.9,1.3,1,0.3053097345132743,14.1
67,22.5,14.1,41.3,0.4,24.0,1.3,85.7,0.5,1.3,3.1,0.8,0.1,1.6,1,0.6266666666666667,18.3
70,20.6,8.8,43.9,0.0,9.7,1.6,70.7,0.9,1.2,2.5,0.4,0.2,1.6,0,0.4271844660194175,12.4
81,20.5,8.6,42.8,0.3,29.9,1.5,81.6,1.2,2.3,1.8,0.5,0.3,1.5,1,0.4195121951219512,13.200000000000001
33,19.5,7.2,49.7,0.1,40.0,2.3,84.3,1.4,1.9,1.4,0.6,0.3,0.9,1,0.36923076923076925,11.9
58,19.3,5.3,41.7,0.0,0.0,1.2,55.0,2.3,3.3,0.4,0.6,1.2,0.9,0,0.27461139896373055,12.199999999999998
70,16.9,7.2,41.9,0.1,25.0,1.1,79.6,0.5,1.1,1.3,0.3,0.1,1.0,0,0.42603550295857995,9.600000000000001
82,16.5,4.9,41.2,0.1,17.6,0.9,74.7,0.7,1.2,2.8,0.8,0.1,1.2,1,0.296969696969697,9.300000000000002
62,16.2,6.9,38.0,0.3,29.2,1.5,77.3,0.7,1.2,1.2,0.5,0.1,1.2,0,0.425925925925926,9.4
78,16.1,6.2,42.5,0.0,0.0,1.1,67.2,1.5,2.8,0.4,0.2,0.3,1.4,0,0.3850931677018633,10.0
73,16.1,5.5,48.7,0.0,0.0,0.7,66.2,1.7,3.1,0.5,0.3,0.3,0.7,1,0.3416149068322981,10.700000000000003
74,16.1,5.3,49.2,0.0,0.0,1.3,63.2,2.1,3.1,0.3,0.5,0.4,1.0,1,0.3291925465838509,10.700000000000001
76,15.4,6.7,42.1,0.2,29.8,0.8,63.0,1.5,1.4,0.8,0.6,0.3,0.9,0,0.43506493506493504,10.4
55,14.9,5.7,46.5,0.0,0.0,0.9,71.2,1.5,2.7,0.6,0.6,0.5,0.8,1,0.3825503355704698,10.799999999999999
47,14.3,5.6,44.6,0.0,18.2,1.0,58.8,0.4,1.1,2.8,0.7,0.2,1.6,0,0.39160839160839156,9.199999999999998
37,13.6,8.1,44.1,0.6,40.0,1.4,72.2,0.7,1.4,0.9,0.4,0.1,1.0,1,0.5955882352941176,10.6
62,13.3,4.3,46.5,0.0,0.0,0.9,64.4,0.8,1.9,0.6,0.2,0.2,1.0,0,0.3233082706766917,7.0
62,12.5,3.9,38.4,0.1,16.1,1.0,80.5,0.3,0.8,1.3,0.5,0.1,0.9,0,0.312,5.8999999999999995
51,11.9,6.9,43.8,0.0,11.8,1.0,68.4,1.1,0.9,0.8,0.6,0.2,0.8,0,0.5798319327731093,9.7
36,11.8,3.9,41.3,0.0,0.0,0.4,55.6,0.8,0.6,1.0,0.4,0.0,0.8,1,0.33050847457627114,5.9
74,11.6,3.1,41.6,0.0,25.0,0.6,65.2,0.8,1.1,0.7,0.5,0.2,0.3,1,0.26724137931034486,6.1000000000000005
63,11.6,8.2,48.7,0.0,16.7,1.7,66.3,1.2,1.2,0.6,0.3,0.1,1.1,1,0.7068965517241379,10.5
33,10.8,2.2,34.8,0.1,27.3,0.3,64.3,0.2,2.0,0.8,0.5,0.2,0.3,0,0.20370370370370372,5.6000000000000005
54,11.2,4.4,46.0,0.0,0.0,0.8,68.9,1.0,1.8,0.7,0.2,0.4,0.8,1,0.3928571428571429,7.7
73,11.0,3.8,40.8,0.1,27.8,0.7,73.2,0.2,0.8,1.2,0.5,0.1,0.7,0,0.34545454545454546,6.0
15,10.9,3.6,40.4,0.0,0.0,1.1,66.7,0.8,2.2,0.2,0.3,0.3,0.7,0,0.3302752293577982,6.699999999999999
64,10.9,3.7,44.1,0.0,0.0,0.6,70.2,0.4,0.7,2.1,0.4,0.2,1.1,1,0.3394495412844037,6.4
56,10.6,3.4,41.5,0.0,0.0,0.6,80.0,0.3,0.5,1.9,0.5,0.1,0.8,0,0.32075471698113206,5.8999999999999995
64,10.6,3.2,39.1,0.0,0.0,0.9,69.6,0.4,0.8,1.0,0.3,0.1,0.8,0,0.30188679245283023,5.0
68,10.1,3.1,41.8,0.3,33.3,0.6,90.5,0.2,0.5,1.9,0.5,0.0,0.6,1,0.3069306930693069,5.700000000000001
47,10.0,2.9,40.3,0.3,37.5,0.5,75.8,0.7,0.7,0.7,0.3,0.0,0.5,0,0.29,4.8
52,9.8,3.5,44.7,0.0,50.0,0.7,66.1,0.8,1.3,0.3,0.2,0.1,0.8,1,0.3571428571428571,5.3999999999999995
64,9.5,3.7,40.0,0.1,40.0,0.5,77.8,0.5,0.5,0.4,0.3,0.2,0.5,0,0.38947368421052636,5.1000000000000005
34,10.8,2.9,36.7,0.0,0.0,0.4,44.4,0.8,1.1,0.5,0.1,0.1,0.7,0,0.2685185185185185,4.799999999999999
42,9.5,3.8,43.9,0.0,0.0,0.5,55.0,0.7,2.2,0.4,0.1,0.7,0.8,1,0.39999999999999997,7.1
50,9.3,4.5,45.8,0.1,15.8,0.6,84.8,0.4,0.9,0.7,0.2,0.0,1.0,1,0.48387096774193544,5.7
52,7.3,2.8,45.5,0.0,0.0,0.6,65.3,0.8,1.1,0.2,0.2,0.7,0.3,1,0.3835616438356164,5.4
75,7.0,2.9,52.0,0.0,0.0,0.5,68.0,0.7,1.0,0.4,0.1,0.4,0.6,0,0.41428571428571426,4.9
39,6.8,2.2,42.0,0.2,24.0,0.3,48.0,0.8,1.0,0.5,0.4,0.3,0.3,1,0.3235294117647059,4.800000000000001
51,6.6,2.5,51.0,0.0,50.0,0.4,71.4,0.8,1.1,0.3,0.2,0.3,0.5,1,0.3787878787878788,4.7
52,6.2,1.3,37.3,0.0,0.0,0.2,54.5,0.8,0.7,0.1,0.1,0.1,0.1,0,0.20967741935483872,3.0
39,5.8,1.5,51.3,0.0,0.0,0.5,90.5,0.5,0.6,0.2,0.1,0.1,0.1,1,0.25862068965517243,3.0000000000000004
82,36.6,24.3,53.1,0.0,0.0,7.5,73.2,3.7,8.3,2.0,1.7,3.9,3.1,1,0.6639344262295082,40.8
31,10.7,3.4,35.3,0.5,25.8,0.5,55.2,0.3,1.1,0.4,0.3,0.1,0.2,0,0.31775700934579443,5.3999999999999995
79,33.7,14.7,47.1,0.3,27.4,2.7,76.4,0.7,3.2,8.7,2.1,0.1,3.3,0,0.43620178041543023,26.2
79,33.7,14.7,47.1,0.3,27.4,2.7,76.4,0.7,3.2,8.7,2.1,0.1,3.3,1,0.43620178041543023,26.2
82,33.6,11.1,44.0,0.0,0.0,2.3,66.4,2.4,6.0,1.2,1.1,0.7,2.1,1,0.33035714285714285,20.4
82,31.5,11.4,46.1,0.3,27.7,0.8,58.9,0.7,2.0,6.8,1.6,0.3,1.7,1,0.3619047619047619,21.000000000000004
81,30.5,14.3,49.4,0.1,16.1,2.8,68.7,0.9,1.7,7.6,1.8,0.1,3.0,1,0.46885245901639344,23.3
80,30.2,12.7,44.6,0.0,0.0,3.4,76.8,2.3,3.5,1.1,0.8,0.7,1.2,1,0.4205298013245033,19.900000000000002
77,30.0,13.6,43.9,0.2,24.6,1.2,73.4,1.3,3.3,1.8,0.9,0.3,1.5,1,0.4533333333333333,19.7
77,30.0,13.6,43.9,0.2,24.6,1.2,73.4,1.3,3.3,1.8,0.9,0.3,1.5,0,0.4533333333333333,19.7
50,25.3,10.1,37.1,0.4,22.5,1.3,77.8,0.8,2.0,4.2,1.6,0.3,2.2,1,0.3992094861660079,16.8
81,25.1,10.0,48.1,0.0,11.1,2.3,86.6,1.6,2.1,1.9,0.6,0.2,1.4,1,0.398406374501992,14.999999999999998
82,23.0,8.9,50.7,0.1,30.0,1.8,71.9,0.8,2.2,1.8,0.9,0.4,1.9,1,0.3869565217391305,13.200000000000001
50,10.6,3.7,44.9,0.0,13.3,0.6,57.4,0.9,2.0,0.3,0.2,0.4,0.4,0,0.34905660377358494,7.1
81,22.0,11.5,49.4,0.0,5.9,2.3,70.5,1.3,2.6,1.5,0.8,0.4,1.7,1,0.5227272727272727,16.4
82,21.7,8.9,50.4,0.0,0.0,2.4,72.7,2.1,2.6,1.1,0.5,0.7,1.4,1,0.4101382488479263,14.5
81,20.1,9.7,40.5,1.2,39.9,1.1,80.9,0.4,1.2,2.5,0.7,0.0,1.5,1,0.48258706467661683,12.999999999999998
69,19.6,6.3,41.1,0.0,13.3,1.3,70.5,1.1,1.2,0.6,0.6,0.2,0.7,0,0.3214285714285714,9.299999999999999
82,19.1,9.1,39.7,0.1,27.3,1.7,55.0,1.3,2.4,0.9,0.7,0.7,1.6,1,0.4764397905759162,13.599999999999998
55,18.0,6.1,47.9,0.0,0.0,1.2,66.7,1.5,1.9,1.0,0.4,0.2,1.1,0,0.33888888888888885,10.0
75,17.9,7.3,47.0,0.0,0.0,1.7,76.2,1.1,2.0,0.7,0.4,0.3,0.9,1,0.40782122905027934,10.9
72,17.0,8.7,49.7,0.0,0.0,2.3,72.2,2.6,2.4,0.6,0.3,0.2,0.7,0,0.5117647058823529,14.1
79,16.8,8.0,48.6,0.0,0.0,1.6,74.7,0.6,1.3,1.5,0.7,0.2,1.2,1,0.47619047619047616,11.1
25,10.4,3.3,39.5,0.2,38.5,0.7,69.2,1.1,2.3,0.2,0.2,0.4,0.4,0,0.3173076923076923,7.1
81,15.9,5.6,48.5,0.0,50.0,0.9,88.5,0.2,1.0,2.5,0.6,0.1,1.0,1,0.3522012578616352,9.099999999999998
63,14.0,4.7,46.6,0.0,0.0,0.9,62.1,1.5,2.2,0.4,0.4,0.4,1.1,1,0.33571428571428574,8.400000000000002
81,13.8,6.5,47.9,0.0,16.7,1.4,73.6,1.8,2.5,0.3,0.6,0.9,1.3,1,0.47101449275362317,11.3
61,13.2,5.3,43.7,0.0,0.0,1.0,64.3,1.0,1.8,0.8,0.2,0.2,0.8,1,0.40151515151515155,8.499999999999998
43,13.0,4.6,40.6,0.1,14.3,0.4,68.0,0.2,1.0,1.9,0.3,0.1,0.8,0,0.3538461538461538,7.3
55,12.9,4.3,36.9,0.0,7.1,0.9,56.2,1.4,1.7,0.4,0.4,0.1,0.8,1,0.3333333333333333,7.500000000000001
59,12.4,4.1,54.7,0.0,25.0,0.9,67.1,0.7,1.4,0.6,0.6,0.2,0.5,0,0.33064516129032256,7.099999999999999
66,11.3,5.9,45.9,0.0,0.0,2.3,77.7,1.0,1.0,0.7,0.5,0.1,1.2,1,0.5221238938053098,8.1
70,34.5,16.7,40.5,0.8,26.4,3.7,70.3,1.4,4.8,6.3,1.9,0.6,3.5,0,0.4840579710144927,28.2
77,11.0,3.5,42.9,0.2,28.6,0.5,66.0,0.2,0.6,2.3,0.3,0.0,1.1,0,0.3181818181818182,5.699999999999999
37,10.9,3.9,29.8,0.2,23.3,1.2,69.4,0.2,0.7,1.8,0.5,0.1,1.4,0,0.35779816513761464,5.799999999999999
67,10.1,3.1,38.4,0.0,18.8,0.6,66.1,0.2,0.6,2.5,0.5,0.0,1.1,1,0.3069306930693069,5.9
42,9.8,1.9,43.0,0.0,0.0,0.2,50.0,1.0,1.8,0.5,0.2,0.3,0.4,0,0.19387755102040813,5.3999999999999995
50,9.8,5.2,47.3,0.1,35.7,1.2,67.0,0.6,0.9,0.9,0.6,0.0,0.8,0,0.5306122448979592,7.400000000000001
65,9.5,5.0,47.6,0.0,7.1,0.8,82.8,0.6,0.9,1.2,0.1,0.0,0.8,0,0.5263157894736842,7.0
65,9.5,5.0,47.6,0.0,7.1,0.8,82.8,0.6,0.9,1.2,0.1,0.0,0.8,1,0.5263157894736842,7.0
82,21.2,6.9,54.2,0.0,0.0,1.5,48.5,2.1,3.8,0.8,0.7,0.6,1.3,0,0.3254716981132076,13.6
82,21.2,6.9,54.2,0.0,0.0,1.5,48.5,2.1,3.8,0.8,0.7,0.6,1.3,1,0.3254716981132076,13.6
44,9.4,2.7,31.3,0.3,32.5,0.3,78.9,0.3,0.7,1.0,0.4,0.1,0.8,1,0.2872340425531915,4.4
36,8.8,4.3,47.5,0.0,0.0,1.1,61.5,0.6,0.8,0.6,0.5,0.2,0.7,0,0.4886363636363636,6.299999999999999
60,8.7,2.9,44.4,0.0,0.0,0.9,69.7,0.2,0.9,1.7,0.6,0.1,0.6,1,0.33333333333333337,5.8999999999999995
60,8.7,2.9,44.4,0.0,0.0,0.9,69.7,0.2,0.9,1.7,0.6,0.1,0.6,1,0.33333333333333337,5.8999999999999995
60,8.7,2.9,44.4,0.0,0.0,0.9,69.7,0.2,0.9,1.7,0.6,0.1,0.6,0,0.33333333333333337,5.8999999999999995
71,30.4,16.3,49.5,0.0,0.0,4.0,72.5,2.4,4.1,1.5,1.0,1.3,2.1,1,0.5361842105263158,24.5
71,30.4,16.3,49.5,0.0,0.0,4.0,72.5,2.4,4.1,1.5,1.0,1.3,2.1,1,0.5361842105263158,24.5
71,30.4,16.3,49.5,0.0,0.0,4.0,72.5,2.4,4.1,1.5,1.0,1.3,2.1,0,0.5361842105263158,24.5
34,8.6,3.5,39.2,0.4,31.9,0.2,54.5,0.4,0.4,0.6,0.3,0.2,0.8,1,0.4069767441860465,4.6
34,8.6,3.5,39.2,0.4,31.9,0.2,54.5,0.4,0.4,0.6,0.3,0.2,0.8,1,0.4069767441860465,4.6
34,8.6,3.5,39.2,0.4,31.9,0.2,54.5,0.4,0.4,0.6,0.3,0.2,0.8,0,0.4069767441860465,4.6
45,8.3,4.5,49.4,0.0,0.0,0.9,60.9,1.3,1.1,0.4,0.2,0.1,0.9,0,0.5421686746987951,6.7
70,32.3,12.8,38.0,1.6,33.0,1.5,90.3,0.5,2.4,5.7,0.6,0.1,1.9,0,0.3962848297213623,20.300000000000004
57,7.7,2.0,36.8,0.1,25.0,0.4,61.5,0.4,0.8,0.4,0.3,0.1,0.4,0,0.2597402597402597,3.6
52,7.3,2.6,39.3,0.1,27.3,0.5,81.3,0.5,0.9,0.3,0.2,0.1,0.6,1,0.35616438356164387,3.9
51,6.5,1.9,55.3,0.0,0.0,0.3,46.4,0.7,1.4,0.1,0.2,0.3,0.6,1,0.29230769230769227,3.9999999999999996
35,6.2,3.3,43.5,0.1,40.0,0.5,88.9,0.3,0.4,0.3,0.2,0.2,0.6,0,0.532258064516129,4.1000000000000005
48,5.7,1.1,23.8,0.0,16.7,0.3,76.5,0.2,0.4,1.3,0.3,0.0,0.5,0,0.1929824561403509,2.8
21,4.9,0.7,33.3,0.0,0.0,0.1,50.0,0.2,0.9,0.1,0.1,0.3,0.1,0,0.14285714285714285,2.1999999999999997
36,4.3,2.0,33.8,0.1,28.6,0.7,80.0,0.2,0.4,0.3,0.1,0.0,0.6,0,0.46511627906976744,2.4
21,4.1,2.2,37.5,0.0,25.0,0.4,69.2,0.6,0.5,0.0,0.1,0.4,0.3,0,0.5365853658536587,3.5000000000000004
79,34.4,22.0,46.8,0.4,36.7,5.2,81.0,2.0,3.9,4.2,1.0,0.2,3.4,1,0.6395348837209303,29.900000000000006
81,33.8,18.6,49.8,0.0,19.0,2.8,77.5,1.9,3.3,4.6,1.9,0.8,3.2,1,0.5502958579881657,27.800000000000004
80,31.1,13.8,41.9,0.9,32.7,3.1,78.0,0.5,3.6,4.1,1.6,0.5,3.2,0,0.4437299035369775,20.900000000000002
79,32.6,15.1,45.5,0.9,42.8,3.1,83.1,0.6,2.2,3.0,1.5,0.5,2.0,1,0.46319018404907975,20.9
79,29.7,13.8,42.5,0.1,27.0,1.8,74.6,1.1,2.2,4.4,1.8,0.3,3.1,1,0.4646464646464647,20.5
82,29.7,11.9,48.6,0.0,0.0,3.7,74.9,2.9,3.7,1.8,1.5,0.6,2.5,1,0.4006734006734007,20.000000000000004
75,29.6,16.9,41.4,0.8,31.4,2.1,79.5,1.0,1.5,2.3,0.9,0.3,1.5,1,0.5709459459459458,21.4
82,28.1,8.6,43.3,0.0,0.0,1.3,82.6,1.5,3.1,5.8,0.9,0.3,2.3,1,0.3060498220640569,17.9
76,27.6,14.1,45.7,0.8,36.6,2.4,71.7,2.5,2.8,1.6,1.3,0.8,2.5,1,0.5108695652173912,20.500000000000004
71,27.1,11.9,43.5,0.1,22.7,1.7,73.5,1.1,2.2,7.1,2.0,0.1,3.6,1,0.43911439114391143,20.9
79,26.1,11.7,43.2,0.4,24.8,2.3,74.5,0.6,1.9,3.8,1.1,0.1,2.3,1,0.44827586206896547,17.0
82,26.7,8.8,37.6,1.2,32.0,1.4,80.4,0.6,2.2,1.0,0.6,0.2,1.2,0,0.32958801498127344,12.3
54,25.1,8.6,41.9,0.5,32.9,1.4,61.4,1.1,2.7,2.4,1.2,0.3,0.9,1,0.3426294820717131,15.500000000000002
55,22.2,8.0,42.0,0.0,25.0,1.9,67.3,2.1,3.1,2.1,0.7,0.5,1.9,0,0.3603603603603604,14.6
